Liverpool,2015-2016,16,12,10,60,63,50,1.63,1.32,11,8
Liverpool,2016-2017,22,10,6,76,78,42,2.03,1.37,12,4
Liverpool,2017-2018,21,12,5,75,84,38,2.16,1.53,17,4
Liverpool,2018-2019,30,7,1,97,89,22,2.26,1.45,21,2
Liverpool,2019-2020,32,3,3,99,85,33,2.18,1.82,15,1
Liverpool,2020-2021,20,9,9,69,68,42,1.71,1.13,12,3
Manchester United,2012-2013,28,5,5,89,86,43,2.11,1.66,13,1
Manchester United,2013-2014,19,7,12,64,64,43,1.66,0.97,13,7
Manchester United,2014-2015,20,10,8,70,62,37,1.58,1.08,11,4
Manchester United,2015-2016,19,9,10,66,49,35,1.21,0.82,18,5
Manchester United,2016-2017,18,15,5,69,54,29,1.42,0.97,17,6
Manchester United,2017-2018,25,6,7,81,68,28,1.76,1.39,19,2
Manchester United,2018-2019,19,9,10,66,65,54,1.71,1.05,7,6
Manchester United,2019-2020,18,12,8,66,66,36,1.71,1.13,13,3
Manchester United,2020-2021,21,11,6,74,73,44,1.84,1.34,13,2
Manchester City,2012-2013,23,9,6,78,66,34,1.68,1.18,18,2
Manchester City,2013-2014,27,5,6,86,102,37,2.55,1.66,16,1
Manchester City,2014-2015,24,7,7,79,83,38,2.16,1.61,14,2
Manchester City,2015-2016,19,9,10,66,71,41,1.87,1.39,16,4
Manchester City,2016-2017,23,9,6,78,80,39,1.97,1.42,12,3
Manchester City,2017-2018,32,4,2,100,106,27,2.71,2.24,18,1
Manchester City,2018-2019,32,2,4,98,95,23,2.39,1.87,20,1
Manchester City,2019-2020,26,3,9,81,102,35,2.63,1.82,17,2
Manchester City,2020-2021,27,5,6,86,83,32,2.16,1.45,19,1
Middlesborough,2016-2017,5,13,20,28,27,53,0.68,0.58,11,19
Newcastle,2012-2013,11,8,19,41,45,68,1.13,0.58,6,16
Newcastle,2013-2014,15,4,19,49,43,59,1.08,0.66,10,10
Newcastle,2014-2015,10,9,19,39,40,63,1.05,0.79,8,15
Newcastle,2015-2016,9,10,19,37,44,65,1.13,0.89,8,18
Newcastle,2017-2018,12,8,18,44,39,47,1,0.76,9,10
Newcastle,2018-2019,12,9,17,45,42,48,1.08,0.87,11,13
